passage_id,text_id,origin_type,genre,task,unit_id,gold_label,pred_label,is_onomatopoeia,is_diminutive
P001,RUS-O-01,RUS-O,prose,boundary,s7,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_any,s7,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_clause,s7,0,,0,0
P001,RUS-O-01,RUS-O,prose,boundary,s8,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_any,s8,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_clause,s8,0,,0,0
P001,RUS-O-01,RUS-O,prose,boundary,s9,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_any,s9,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_clause,s9,0,,0,0
P001,RUS-O-01,RUS-O,prose,boundary,s10,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_any,s10,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_clause,s10,0,,0,0
P001,RUS-O-01,RUS-O,prose,boundary,s11,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_any,s11,1,1,0,0
P001,RUS-O-01,RUS-O,prose,coord_clause,s11,0,,0,0
P002,RUS-O-02,RUS-O,prose,boundary,s24,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_any,s24,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_clause,s24,0,,0,0
P002,RUS-O-02,RUS-O,prose,boundary,s25,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_any,s25,0,0,0,0
P002,RUS-O-02,RUS-O,prose,coord_clause,s25,0,,0,0
P002,RUS-O-02,RUS-O,prose,boundary,s26,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_any,s26,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_clause,s26,0,,0,0
P002,RUS-O-02,RUS-O,prose,boundary,s27,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_any,s27,0,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_clause,s27,0,,0,0
P002,RUS-O-02,RUS-O,prose,boundary,s28,1,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_any,s28,0,1,0,0
P002,RUS-O-02,RUS-O,prose,coord_clause,s28,0,,0,0
P003,RUS-O-03,RUS-O,prose,boundary,s373,1,1,0,0
P003,RUS-O-03,RUS-O,prose,coord_any,s373,0,0,0,0
P003,RUS-O-03,RUS-O,prose,coord_clause,s373,0,,0,0
P003,RUS-O-03,RUS-O,prose,boundary,s374,1,1,0,0
P003,RUS-O-03,RUS-O,prose,coord_any,s374,0,1,0,0
P003,RUS-O-03,RUS-O,prose,coord_clause,s374,0,,0,0
P003,RUS-O-03,RUS-O,prose,boundary,s375,1,1,0,0
P003,RUS-O-03,RUS-O,prose,coord_any,s375,0,0,0,0
